question_id,prompt,A,B,C,D,E,answer,difficulty
31,All the following were important influences on the framers of the Constitution EXCEPT:,the Magna Carta,the English Bill of Rights,the Roman republic,The Spirit of the Laws,the Federalist Papers,E,0.92
32,Around which two central figures were the Federalist and Democratic-Republican parties organized?,George Washington and John Adams,Alexander Hamilton and John Adams,Alexander Hamilton and Thomas Jefferson,Thomas Jefferson and James Madison,John Adams and Thomas Jefferson,C,0.46
33,What was the major aim of George Washington's foreign policy?,To remain friendly with but neutral toward all nations,To support the French monarchy during the French Revolution,To support the revolutionaries during the French Revolution,To stake a claim to the Louisiana territory,To settle the Northwest Territory as soon as possible,A,0.7
34,What was the Democratic-Republican response to the passage of the Alien and Sedition Acts?,The Treaty of Ghent,The Virginia and Kentucky resolutions,The Battle of Tippecanoe,The Judiciary Act,The Embargo Act,B,0.71
35,All the following major changes first occurred in U.S. society between 1790 and 1825 EXCEPT:,"More than 100,000 Americans migrated westward.",The Industrial Revolution changed the economy and the way people worked.,The Erie Canal was completed.,Voting rights were expanded to include white men who did not own property.,Political leaders began disagreeing over the question of slavery.,E,0.5
36,The Missouri Compromise stated all the following EXCEPT:,Missouri would be admitted to the Union as a slaveholding state.,Maine would be admitted to the Union as a free state.,"Slavery would be outlawed north of Missouri's southern border, except in Missouri itself.",No future state would be admitted to the Union as a slaveholding state.,"The balance of power in Congress would remain even, with 12 free states and 12 slaveholding states.",D,0.85
37,How did the invention of the cotton gin affect the South?,Planters divided their large plantations into smaller farms.,"The economy boomed because one gin could do the work of 1,000 slaves.",Slavery began to be less profitable and started to die out.,Southerners began to build textile mills and make their own cloth for export and trade.,Southerners began building factories to manufacture more cotton gins.,B,0.39
38,What was the purpose of the Monroe Doctrine?,To support democracy all over the world,To ally the United States with European interests,To encourage Latin American revolutionaries to rise up against the European colonial powers,To warn European nations not to invade or colonize the western hemisphere,To declare American neutrality in relations between Latin America and Europe,D,0.5
39,"Who among the following did not belong to the literary community in Concord, Massachusetts?",Louisa May Alcott,Nathaniel Hawthorne,Bronson Alcott,Edgar Allan Poe,Henry David Thoreau,D,0.73
40,What happened at the Seneca Falls Convention?,A constitutional amendment was passed granting women the right to vote.,A Declaration of Sentiments listing women's grievances was signed and published.,A riot broke out between those who supported and those who opposed women's rights.,The president of the United States pledged to make women's rights a major campaign issue.,Newspaper articles supporting the abolition of slavery were read and discussed.,B,0.65
41,The rebellion of Nat Turner had all the following effects EXCEPT:,Fifty or sixty white people were killed.,The Southern states passed harsh new laws limiting the rights of slaves.,Southerners blamed William Lloyd Garrison and The Liberator for the uprising.,Nat Turner and several of his followers were hanged as criminals.,The rebellion inspired other successful uprisings throughout the South.,E,0.11
42,The Second Great Awakening gave rise to or supported all the following movements EXCEPT:,women's education,temperance,abolition,women's suffrage,the Whig Party,E,0.33
43,All these inventions helped revolutionize the U.S. economy in the early nineteenth century EXCEPT:,the cotton gin,the locomotive,the incandescent lightbulb,the steamboat,the spinning jenny,C,0.38
44,Which of the following social classes did NOT make up a significant part of Southern society?,Wealthy planters,Immigrants,Slaves,Small farmers,Poor whites,B,0.2
45,Which of the following was the primary reason for the wave of Irish immigration in the 1840s?,Desire to buy land,Desire for economic opportunity,Widespread starvation in the wake of the potato famine,Religious oppression,Political oppression from Great Britain,C,0.26
46,"Between 1830 and 1850, the United States gained land that would become all the following present-day states EXCEPT:",California,North Dakota,Washington,Oregon,Texas,B,0.96
47,The Gold Rush of 1849 had all the following immediate effects on California society EXCEPT:,The population became more ethnically diverse.,Many entrepreneurs made their fortunes from the miners.,The population grew by many thousands.,More and more people turned to farming to make a living.,Society became violent and lawless.,D,0.16
48,The Fugitive Slave Act of 1850 made it legal to do which of the following?,Prevent an African American from testifying in his or her own defense,Help a slave escape to a free state,Become a free person simply by crossing the border into a free state,Join the Free-Soil Party and speak out in favor of abolition,Execute any slave who was proved to have escaped from his or her owner,A,0.95
49,The immediate cause of Southern secession from the Union was,the raid on Harpers Ferry,the Pottawatomie Massacre,the election of Abraham Lincoln,the passage of the Kansas-Nebraska Act,the determination of Kansas to be a free state,C,0.93
50,"In his opinion in the case of Dred Scott v. Sanford, Chief Justice Taney stated all the following EXCEPT:",The Fifth Amendment protected slaveowners' rights to their property.,The Missouri Compromise had been unconstitutional because it violated slaveowners' property rights.,The framers of the Constitution clearly had not intended the Constitution to apply to anyone of African descent.,Slave status did not depend on geography but traveled everywhere with a person who was a slave.,"As long as society provided separate but equal opportunities to African slaves, it did not have to do anything more for them.",E,0.21
51,Why did Thoreau and other abolitionists praise John Brown?,They approved of using violence to change laws.,They looked forward eagerly to a war between North and South.,They wanted to see as many slavers killed as possible.,They admired his long history of helping African Americans and dealing fairly with them.,They felt that Brown had taken an appropriate revenge for Congressman Brooks's attack on Senator Sumner.,D,0.13
52,The Union strategy for winning the war included all the following EXCEPT:,dividing the Confederacy along the Mississippi River and conquering both halves in turn,taking control of the Mississippi so that the South could not use it for trade or communication,blockading Confederate ports so that no supplies or reinforcements could come in,capturing and killing Confederate President Jefferson Davis,"capturing the capital city of Richmond, Virginia",D,0.16
53,The Union was more likely to win a war of attrition because,it had a larger pool of available reinforcements and could resupply its troops,the Confederates had not been able to march farther north than Maryland,the Confederate officers did not know how to fight a war of attrition,African Americans fought only on the Union side,its military leaders had no command of strategy and tactics,A,0.33
54,"The Emancipation Proclamation, by implication, extended which of the following offers to Confederate states?",They could keep their slaves if they abandoned the Confederacy and rejoined the Union.,The war would continue until they freed their slaves.,The Union would pay them for their slaves if they would agree to free them.,The Union would surrender if they agreed to free their slaves.,The Confederacy could exist as an independent nation if it would build an impregnable border between its territory and that of the United States.,A,0.92
55,Andrew Johnson was impeached primarily because he,dismissed Edwin M. Stanton from a cabinet post,disagreed with the congressional majority on domestic policy,committed high crimes and misdemeanors,prevented Congress from enacting any legislation that would propel Reconstruction forward,failed to carry out any projects that President Lincoln had planned to enact,B,0.57
56,Southern Democrats did all the following to bar likely Republican voters from the polls EXCEPT:,threatened them with violence,charged a poll tax they could not afford,made them take a literacy test they were likely to fail,shot them to death,passed laws that denied them the right to vote,E,0.65
57,Many active supporters of the women's suffrage movement opposed the Fifteenth Amendment because,the women's movement did not care about the rights of African Americans,white suffragists thought that their concerns were more important than those of African Americans,women were angry that the Fifteenth Amendment did not give them the right to vote,suffragists did not want African Americans to have voting rights,women were afraid that the Fifteenth Amendment would jeopardize their fight for women's suffrage,C,0.37
58,The U.S. government insisted on moving Native Americans to reservations primarily because,settlers from the East were greedy for the Native Americans' ancestral lands,Native American hunting practices threatened the survival of the buffalo,Native Americans were better at farming and technology than were Americans of European descent,settlers from the East did not understand Native American languages,government authorities were afraid of a planned Native American rebellion,A,0.39
59,The Pacific Railway Act had all the following effects EXCEPT:,the arrival in California of thousands of Chinese immigrants,a rise in the national rate of employment,an increase in westward migration by people in search of jobs with the railroad,the sale of surplus railroad land to homesteaders,a decline in production in the steel industry,E,0.77
60,African Americans traveled west after the Civil War for all the following reasons EXCEPT:,to work on the railroad,to escape racial segregation,to work in the fur-trading industry,to mine gold and silver,to claim homesteads for themselves and their families,C,0.86
61,All the following inventions were developed during the Second Industrial Revolution EXCEPT:,the lightbulb,the telephone,the air brake,the cotton gin,the typewriter,D,0.02
62,"In a dispute with owners or management, workers had all the following advantages EXCEPT:",There were far more of them.,No business could function without them.,They could form unions to help them survive financially during strikes.,Owners stood to lose substantial profits if workers refused to work.,They could not be replaced easily.,E,0.62
63,"In the early 1900's, nativists supported restrictions on immigration for all the following reasons EXCEPT:",They did not want U.S. culture changed.,They did not want to learn to speak foreign languages.,They feared that immigrants would lower the working wage.,"They thought immigrants might bring in ideas, values, and ways of thinking that would not fit in.",They feared that immigrants would take jobs away from workers born in the United States.,B,0.12
64,The settlement-house movement had all the following goals EXCEPT:,to train young women for careers in education or social work,to integrate city school systems,to provide a day-care center for the young children of working parents,to provide a social gathering place in a neighborhood,to offer classes in English and other subjects for children and adults,B,0.48
65,The Populist Party was founded with all the following goals EXCEPT:,to support the coinage of silver,to return to the gold standard,to push for government ownership of the railroads,to regulate the banks,to restrict immigration,B,0.37
66,"In the late 1870s, the Republican Party was divided primarily over the issue of",the gold standard,civil-service reform,racial segregation,women's rights,raising taxes,B,0.3
67,Theodore Roosevelt believed that big business should be regulated federally primarily because,it was wrong for so few people to control so much money and property,owners would not take proper care of the welfare of their workers or customers unless forced to by law,businesses were not efficiently run or profitable,too many people bought imported goods rather than goods made in the United States,businesses were destroying too great a proportion of the nation?s natural resources,B,0.98
68,"The Seventeenth Amendment, ratified in 1913, established which of the following?",Secret ballots in local elections,A direct primary,Direct popular election of senators,An eight-hour workday,A federal minimum wage,C,0.55
69,Conservatives supported environmental legislation under Roosevelt and Taft because,they did not want the natural resources of the United States to die out or be used up,they wanted a place in which to go hunting,they always sided with the owners in labor disputes,they opposed regulation of big business,they did not want certain rare species of birds or animals to become extinct,A,0.29
70,The United States became an imperialist nation in the late 1800s for all the following reasons EXCEPT:,desire to establish new markets for U.S. goods,interest in acquiring naval bases in strategic locations,"need to obtain inexpensive access to certain goods that the United States could not produce for itself, such as sugar and rubber",desire to put an end to tyranny in foreign nations,wish to be considered a powerful force in world affairs,D,0.71
71,By 1920 the United States had acquired partial or total control over all the following EXCEPT:,the Canal Zone,Puerto Rico,China,the Philippines,Guam,C,0.91
72,Which of the following did the Roosevelt Corollary modify?,The Monroe Doctrine,The Platt Amendment,The Hawaiian constitution,The Hay?Bunau-Varilla Treaty,The Open Door Policy,A,0.45
73,All of the following nations were allied with the Central Powers EXCEPT:,France,Germany,Turkey,Bulgaria,Austria-Hungary,A,0.4
74,The United States came out of World War I in a strong international position primarily because,it had founded the League of Nations,it had lost relatively few of its fighting forces and its economy was prosperous,it had had a successful socialist revolution,it was geographically isolated from Europe,it had dictated the terms of the Treaty of Versailles,B,0.66
75,The Treaty of Versailles stated all the following EXCEPT:,Germany would have to pay reparations to Allied nations.,Alsace-Lorraine would be returned to France.,New nations called Czechoslovakia and Yugoslavia would be established.,Russia would be known as the Soviet Union.,Germany would accept total blame for the war.,D,0.25
76,All the following characterized the 1920s EXCEPT:,a rise in organized crime,a wave of prolabor legislation,the development of mass entertainment,technological advances such as the radio,the rise in popularity of the automobile,B,0.9
77,"Who were ""the Untouchables""?",Chicago White Sox baseball players who threw the World Series in 1919,Organized criminals who worked for Al Capone,The murderers involved in the St. Valentine's Day Massacre,Characters in a novel by Ernest Hemingway,FBI detectives who worked on cases involving violations of Prohibition,E,0.81
78,All the following characterized the flapper EXCEPT:,bobbed hair,short skirts,participation in sports,political activism,cigarette smoking,D,1
79,All the following were contributing causes of the Great Depression EXCEPT:,margin buying,frequent fluctuations in share prices,widespread bank failures,the existence of Hoovervilles,widespread business failures,D,0.52
80,Which of the following New Deal programs was intended to ensure that no Great Depression could occur again in the future?,Federal Deposit Insurance Corporation,Farm Credit Administration,Tennessee Valley Authority,Public Works Administration,Civilian Conservation Corps,A,0.95
81,"After they drove west from the Dust Bowl seeking work in California, most farmers",found good jobs and soon returned to prosperity,competed with thousands like themselves for poorly paid work,got arrested protesting unfair working conditions,crossed the border into Mexico to find work,petitioned the White House for help in fighting the growers' association,B,0.15
82,All the following nations were under Axis control by the end of 1940 EXCEPT:,Poland,the Soviet Union,France,Italy,the Netherlands,B,0.06
83,All the following were U.S. victories in the Pacific EXCEPT:,Bataan,Guadalcanal,Coral Sea,Midway,Solomon Islands,A,0.25
84,Which of the following was the purpose of the Lend-Lease Act?,To guarantee the territorial integrity of China,To permit Roosevelt to run for a third presidential term,To set limits on the size of the British and Japanese navies,To spell out the war aims of the Allied Powers,To provide military aid to defend Britain and other Allied countries,E,0.36
85,The Battle of the Bulge took place when Allied troops,invaded North Africa,approached Germany's western border,fought German troops in Italy,landed on the beaches of Normandy,fought the Japanese at Iwo Jima,B,0.03
86,Which of the following was among the reasons why President Truman decided to drop atomic bombs on Japan?,He wanted to free the Philippines from Japanese occupation.,He feared a Japanese invasion of the United States.,He believed the bombing would shorten the war and save U.S. lives.,He wanted to impress the British with U.S. strength.,He wanted to destroy every city in Japan.,C,0.98
87,The Potsdam Conference provided for all the following EXCEPT:,the division of Germany into four occupied zones,the payment of reparations to the Allies,the reorganization of the Soviet government,the acknowledgment that Poland could keep the German territory it had claimed,the conversion of the German economy to agriculture and light industry.,C,0.73
88,Which of the following prompted the first use of UN military forces?,Tension between the Soviet Union and the United States,The nuclear arms race between the Soviet Union and the United States,The North Korean invasion of South Korea,The international agreement to put Nazi officials on trial for their crimes,Anticommunist hysteria in the United States,C,0.53
89,The primary purpose of the Marshall Plan was to,reestablish democratic governments in Western Europe,provide military assistance to Britain and its empire,offer financial aid for reconstruction to European nations,help Japan rebuild its cities and its economy,increase U.S. power in the world,C,0.45
90,All the following advances were made in race relations in the United States between 1940 and 1960 EXCEPT:,"In Brown Vs. Board of Education, the U.S. Supreme Court declared that segregated public schools were unconstitutional.",Public transportation was desegregated.,Major league baseball was desegregated.,The Chinese Exclusion Act was repealed.,A voting rights act was passed.,E,0.12
91,The Civil Rights Act of 1964 had all the following provisions EXCEPT:,"It banned racial, gender, religious, and ethnic discrimination in employment.",It removed certain voter-registration restrictions.,It made segregation illegal in all public places.,It allowed the federal government to sue public schools that did not desegregate.,It integrated the federal government and the armed forces.,E,0.99
92,The Cuban missile crisis ended when,the Soviets agreed to withdraw their missiles from Cuba if U.S. missiles were withdrawn from sites in Turkey,President Kennedy ordered the U.S. Navy to turn back Soviet ships headed for Cuba,a CIA-sponsored invasion of Cuba by Cuban exiles was defeated at the Bay of Pigs,President Kennedy was assassinated,the East German government built a wall around the perimeter of West Berlin,A,0.96
93,All the following characterized the civil rights movement EXCEPT:,advocating legislation that would outlaw segregation,nonviolent demonstrations,sit-ins at segregated lunch counters and restaurants,police brutality against civil rights marchers,violent attacks on segregated restaurants and other public facilities,E,0.54
94,All the following are programs of the Great Society EXCEPT:,the National Organization for Women,Head Start,the Corporation for Public Broadcasting,Medicare,Medicaid,A,0.32
95,A major achievement of the civil rights movement in the 1960s was,equality in pay for white and African-American workers doing the same jobs,a huge increase in the number of African-American voters in the South,equal access to higher education for African Americans,appointment of African Americans to leading posts in major corporations,election of African-American majorities in state legislatures,B,0.37
96,President Johnson called for a voting rights bill in 1965 after,"Martin Luther King., Jr., was assassinated",he defeated the Republican Barry Goldwater in a landslide election,Betty Friedan and others formed the National Organization for Women,racial disturbances broke out in Detroit and Los Angeles,"a protest march let by Martin Luther King, Jr., was met with violence",E,0.1
97,Which of the following presidents sent troops to Vietnam?,"Truman, Eisenhower, and Kennedy","Eisenhower, Kennedy, Johnson, and Nixon",Johnson and Nixon,Kennedy and Johnson,Johnson,B,0.97
98,Which of the following was NOT settled in the U.S.?North Vietnamese peace agreement of 1973?,An exchange of prisoners of war,The political future of South Vietnam,The withdrawal of U.S. troops,The end of U.S. military aid to South Vietnam,A cease-fire,B,0.57
99,All the following turned people in the United States against the Vietnam War EXCEPT:,the Kent State and Jackson State massacres,publication of the Pentagon Papers,disclosure of the bombing of Cambodia,repeal of the Tonkin Gulf Resolution,revulsion against the horrors of war as shown on television news broadcasts,D,0.14
100,Nixon's foreign policy of détente was meant to improve relations between the United States and,North Vietnam,Cambodia,Taiwan,China,the Soviet Union,E,0.06
101,"The ""energy crisis"" of 1973 started when",Arab countries refused to ship petroleum to countries friendly to Israel,Congress refused to authorize oil drilling in Alaska,oil reserves in Texas and Oklahoma began to run dry,the public refused to support the building of nuclear power plants,the United States decided to end all imports of foreign petroleum,A,0.92
102,The Watergate burglars were,newspaper reporters investigating a crime story,FBI agents looking for evidence of wrongdoing by Nixon,thieves looking for money in the Democratic Party offices,operatives in the pay of Nixon's reelection committee,Democratic Party members looking for evidence to discredit Republicans,D,0
103,President Jimmy Carter helped work out a peace agreement between,Palestine and Israel,Israel and Egypt,Egypt and Jordan,Iraq and Kuwait,East Germany and West Germany,B,0.42
104,The Cold War ended primarily because,Germans destroyed the Berlin Wall,Soviet leader Mikhail Gorbachev introduced new policies,the United States defeated communism in Vietnam,the United States created a rebel army in Nicaragua,the workers of Poland staged a series of strikes,B,0.56
105,The Gulf War of 1991 was fought to liberate,Iran,Israel,Kuwait,Saudi Arabia,Nicaragua,C,0.26
106,President Bill Clinton suffered defeat in Congress when he,sought to reform the nation's largely private system of health-care insurance,attempted to reduce the federal government's financial deficit,tried to impose strict requirements on recipients of public assistance,sought passage of an act requiring corporations to provide workers with unpaid leave to cope with family medical emergencies,chose Senator Al Gore to be his vice president,A,0.16
107,The presidential election of 2000 was decided when,a recount of votes in Florida showed that Bush had won the popular vote,a recount of electoral votes was ordered by the Supreme Court,"a vote recount in Florida was barred by the Supreme Court, effectively making Bush president",a recount of the popular vote nationwide showed that Gore was the loser,Republicans agreed to permit a recount of the popular vote in Florida,C,0.8
108,The Bush administration launched the war in Iraq in 2003 in alliance with,the United Nations Security Council,Saudi Arabia and other Middle Eastern countries,"Germany, France, and other major U.S. allies","Great Britain, along with token forces from several smaller countries",no other countries or international organizations,D,0.51
109,"At the start of his term, President Barack Obama faced all the following challenges in office EXCEPT:",a housing and mortgage crisis,flood relief for the city of New Orleans,a war in Iraq,a crashing stock market,soaring unemployment,B,0.14
110,"""Slavery now stands erect, clanking its chains on the territory of Kansas, surrounded by a code of death, and trampling upon all cherished liberties."" This statement was most likely made by a(n)",Whig,muckraker,plantation owner,Democrat,abolitionist,E,0.13
111,The president's power to veto a bill is checked by Congress's power to,override the veto with a two-thirds majority vote,filibuster,call for a referendum,petition the states,impeach,A,0.8
112,"The Olmec, the Maya, the Toltec, the Aztec, and  the Inca are the earliest major civilizations of the Americas and are termed the",Paleolithic migrations,"cultures of ""blue men""",Mesoamerican cultures,Tewa nations,sun worshippers,C,0.74
113,"Even though the Tea Act of 1773 lowered the price of East India tea, the colonists opposed it primarily because",the British were selling the colonies inferior tea,the price of the tea included a tax the colonists did not want to pay,the Dutch threatened to stop trading with the colonies,the act gave trading privileges to Dutch merchants over colonial merchants,the British colonial governors took the tea for themselves,B,0.14
114,Most European immigrants at the turn of the  nineteenth century passed through:,"Castle Garden, New York","Roosevelt Island, New York","The Port of Boston, Massachusetts","Ellis Island, New York","Plymouth, Massachusetts",D,0.46
115,Henry Clay's proposal that Maine enter the Union as a free state and Missouri enter as a slave state was called,the Maine Compromise,the Missouri Compromise,the Clay Compromise,Clay's Folly,the Know-Nothing Agreement,B,0.79
116,"In a 1906 speech, Theodore Roosevelt described a man with a muckrake who ""fixes his eyes . . . only on that which is vile and debasing."" His speech gave rise to the new word  muckrakers, referring to",farmers in lowland areas,trial lawyers,religious leaders,judges in criminal courts,investigative journalists,E,0.7
117,The only United States president who was not a member of a Protestant sect was,Franklin D. Roosevelt,Harry S Truman,Dwight D. Eisenhower,John F. Kennedy,Lyndon B. Johnson,D,0.45
119,"In the aftermath of President Kennedy's assassination, a commission was formed to review the  evidence and publish a report. The commission was headed by",Vice President Lyndon B. Johnson,Pierre Salinger,Senator J. William Fulbright,Attorney General Robert F. Kennedy,Chief Justice Earl Warren,E,0.72
120,"The Fourteen Points, presented in January 1918, were",Winston Churchill's plans for dealing with Hitler,American suffragists' demands for women's rights,Woodrow Wilson's plan for building peace in the post-World War I world,sections of the income tax amendment to the Constitution,the Socialist Party's proposal for economic fairness,C,0.85
121,White Southerners were opposed to Northerners who trav eled south after the Civil War to work for racial justice and/or make money.  They called these people:,mugwumps,Whigs,dog robbers,Southern sympathizers,carpetbaggers,E,0.03
122,"President James Monroe issued the Monroe Doctrine in 1823, warning European powers not to establish new colonies in the western hemisphere. This policy was supported by",Spain,Russia,England,France,Cuba,C,0.41
123,The voyage that brought African captives across the Atlantic to the Americas and the West Indies is referred to as the,Middle Passage,Northwest Passage,China Passage,Passage to India,Bermuda Passage,A,0.41
124,Gifford Pinchot is associated with a movement that began in the nineteenth century and focused on protecting the country's natural  environment. Thismovement is called the,Greenpeace movement,emancipation movement,enfranchisement movement,conservationist movement,emigration movement,D,0.2
125,"""Tippecanoe and Tyler, too"" was a campaign slogan in the presidential election of 1840. ""Tippecanoe"" refers to",John Tyler,Andrew Jackson,Benjamin Harrison,William Henry Harrison,George Rogers Clark,D,0.63
126,"Beginning in 1663 with Carolina, a second wave of colonization in British North America was facilitated by",the restoration of Oliver Cromwell and the Puritans to power in Great Britain,King George II of Great Britain,the restoration of the monarchy in Britain and land grants in the New World from Charles II to his supporters,the voyages of exploration by John Cabot,peace pacts between French missionaries and Native American tribes,C,0.62
127,"Jazz, flappers, bathtub gin, red-hot flannels, speakeasies, and radio stations were all elements of the era known as",the Gay Nineties,the Roaring Twenties,the Fabulous Sixties,Reconstruction,the turn of the century,B,0.6
128,The first U.S. military response to a suspected  terrorist act came in 1986 when President Ronald Reagan ordered a bombing attack on which country?,Syria,Pakistan,Turkey,Uganda,Libya,E,0.95
129,Automation in the 1950s and 1960s brought about what two significant economic changes in the United States?,Increased hiring and tax cuts,An increase in manufacturing jobs and lower unemployment,Reductions in farm employment and elimination of factory jobs,Higher taxes and inflation,No changes,C,0.79
130,The U.S. pressured Cuba to accept the Platt Amendment in 1901. It made Cuba a protectorate of the United States. A protectorate is a,U.S. possession,country that promises to help protect the United States,country that contributes soldiers to the U.S. Army,country that accepts U.S. protection in exchange for the right of the United States to intervene in its affairs,country that is protected from U.S. aggression,D,0.02
131,The Fifteenth Amendment tried to ensure the right of black men to vote. The first presidential election after the ratification of the Fifteenth Amendment  was in,1864,1920,1860,1960,1872,E,0.02
133,"The Spanish explorer Vasco Nunez de Balboa, the first European to cross the isthmus of Panama, saw a body of water he thought was the South Sea. It was actually the",Atlantic Ocean,Pacific Ocean,Gulf of Mexico,Indian Ocean,Caribbean Sea,B,0.07
134,The route known as the Oregon Trail followed the Platte River,across the Appalachians and into Ohio,across the Rio Grande and up the California coast to Oregon,across the Great Plains to the Rocky Mountains and then into Oregon along the Snake River,across the Mississippi and along the Missouri River to the Badlands and into Canada,across the desert and up the Sierra Nevadas to Oregon,C,0.51
135,Ralph Nader became prominent during the 1960s as an advocate for,transportation improvements,education reform,consumer interests,congressional term limits,vegetarianism,C,0.17
136,"On March 12, 1933, President Franklin D. Roosevelt made a radio broadcast from the White House to explain his reasons for closing U.S. banks for a few days. This grew into a regular series of broadcasts that became known as",fireside chats,The FDR Hour,The State of the Union,America Today,This Week in the News,A,0.11
137,"The ""British Invasion"" of 1964 refers to",an attack by Great Britain on the U.S. Virgin Islands,an increase in British immigration to Canada,the sale of British-made automobiles in the United States,the introduction of popular British rock bands to U.S. audiences,the broadcast of British television shows in the United States,D,0.5
138,"The first union of skilled workers, founded by Samuel L. Gompers in 1886, was called the",Congress of Industrial Organizations (CIO),U.S. Department of Labor,International Ladies' Garment Workers' Union (ILGWU),American Federation of Labor (AFL),Industrial Workers of the World (IWW),D,0.62
139,The first shots of the Revolutionary War were fired in which colony?,Massachusetts,Virginia,New Hampshire,Pennsylvania,New York,A,0.85
140,"In The American Crisis, no. 1, Thomas Paine referred to ""the summer soldier and the sunshine patriot."" Whom did he mean?",Traitors to the U.S. Army,People who had supported independence before the war but changed their minds once it began,Colonists who had remained loyal to Great Britain all along,Soldiers who fired on the mobs during the Boston Massacre,"Redcoats who fired on the minutemen, who were British subjects like themselves",B,0.68
141,Which of the following was NOT a primary aim of the Progressive movement of the early 1900s?,Passing laws that would improve slum conditions in large cities,"Teaching immigrants to read, write, and speak English",Supporting the passage of legislation that would make the workplace safer,"Creating public baths, parks, and playgrounds in urban areas",Making English the official language of the United States,E,0.72
142,The 1938 panic in which people thought that the earth was being attacked by hostile aliens from Mars was caused by a,radio broadcast of H. G. Wells's The War of the Worlds by Orson Welles and the Mercury Theater,series of swaths cut into mysterious symbolic shapes in Midwestern cornfields,"power blackout that darkened the Northeast from Boston to Washington, D.C.",series of tornadoes in the Southeast in which many people disappeared,mysterious cloud formation hovering over the face of the moon,A,0.37
143,"Why did the writer Gertrude Stein describe Ernest Hemingway, F. Scott Fitzgerald, and other artistic and literary Americans as a ""lost generation"" during the 1920s?","They preferred to live in Europe, not the United States.",They had fought recently on the losing side in World War I.,They were disillusioned by the experience of World War I.,They had lost all feeling of American patriotism.,They despised society and lived isolated lives.,C,0.53
144,"The Emancipation Proclamation of January 1, 1863,",freed all slaves in the United States,freed all slaves in the Confederate States,required all slaves to register with the government,gave all adult male slaves the right to vote,gave all adult male slaves the right to enlist in the Union Army,B,0.14
145,"""From Stettin in the Baltic to Trieste on the Adriatic, an iron curtain has descended across the continent."" The phrase ""iron curtain,"" coined in 1947, refers to the","Marshall Plan, which provided millions of dollars in U.S. aid to any nation in Europe that requested it",Allied invasion of Normandy during World War II,borderline between nations under Soviet communist influence and the rest of the world,borderline between Northern and Southern Europe,concrete wall that divided East Berlin from West Berlin,C,0.22
146,Jane Addams opened Hull House in Chicago in 1889 for all the following reasons EXCEPT:,providing meaningful career opportunities for young women,improving living conditions in the immediate neighborhood,providing a day-care center for the young children of working parents,teaching English and other subjects to newly arrived immigrants,eliminating racial segregation throughout the city of Chicago,E,0.58
147,"""Labor is prior to, and independent of, capital. Capital is only the fruit of labor, and could never have existed if labor had not first existed. Labor is the superior of capital and deserves much the higher consideration."" Which of the following would the speaker of this quotation most likely support?",Prohibition,Socialism,Segregation,Progressivism,Capitalism,B,0.88
149,People in the United States lost confidence in  President Herbert Hoover primarily because,his policies did not bring about an economic recovery,the Hoover Dam was an environmental disaster,the judges he appointed to the Supreme Court were incompetent,he outlawed membership in the Socialist and Communist parties,he established the Federal Farm Board in 1929,A,0.95
150,The primary purpose of the Lewis and Clark expedition of 1804?1806 was to,make accurate maps of the Louisiana Territory,search for a water route across North America from the Atlantic to the Pacific,register all the Native American tribes living in the Louisiana Territory,study the various types of plant and animals in the Louisiana Territory,establish friendly relations with the Native American tribes of the Pacific Coast,B,0.6
151,Which of the following would give a historian the clearest insight into the reasons for the way the Constitution was written?,Minutes and transcripts of debates to the Constitutional Convention,The diary of a Convention delegate such as James Madison or Benjamin Franklin,A copy of the  Federalist Papers,Newspaper editorials published during the Constitutional Convention,A copy of the Constitution,A,0.11
152,Which of the following facts supports the theory that the War of 1812 brought about economic prosperity in the United States?,The USS  Constitution destroyed several British warships.,Andrew Jackson led his troops to victory in the Battle of New Orleans.,Great Britain and the United States became allies after the war ended.,Trade embargoes forced U.S. manufacturers to expand operations.,The Treaty of Ghent strengthened U.S. control over the Northwest Territory.,D,0.11
153,What took place during the Saturday Night Massacre?,"A mob of Bostonians threw stones at British troops, who retaliated by firing on them.",General George Armstrong Custer and all his troops were killed at the Battle of Little Bighorn.,Attorney General Eliot Richardson and Deputy Attorney General William Ruckelshaus resigned rather than obey President Nixon's order to fire Special Prosecutor Archibald Cox.,"George Washington and his troops captured and imprisoned the entire Hessian force at Trenton, New Jersey.","The stock market crashed on October 24, 1929, and some prominent people who had lost their fortunes committed suicide.",C,0.25
154,"Which nation was NOT involved in the 1921 FourPower Treaty, an agreement to respect territorial claims in the Pacific?",France,Great Britain,Japan,The Netherlands,The United States,D,0.35
155,Which novel was a catalyst for reform in the meatpacking industry under President Theodore Roosevelt?,Manhattan Transferby John Dos Passos,The Jungle by Upton Sinclair,Babbitt by Sinclair Lewis,The Octopusby Frank Norris,The Grapes of Wrath by John Steinbeck,B,0.07
156,African Americans moved west in large numbers after the Civil War for all the following reasons EXCEPT:,to look for greater racial tolerance and economic opportunity,to take advantage of the opportunities offered by the Harlem Renaissance,to escape violent persecution by angry white Southerners,to acquire farmland that the Homestead Act made available for free to the first people to claim it,to work on building the railroad that soon would connect the East Coast and the West Coast,B,0.98
